"customer_id","Cluster","IsChurned","TotalSpent","Frequency","Recency","AvgOrderValue","OrdersPerMonth","LastPurchaseDate"
12346,"1",1,77183.6,1,325.117361111111,77183.6,1,2011-01-18 10:01:00
12347,"1",0,4310,7,1.87361111111111,615.714285714286,1,2011-12-07 15:52:00
12348,"1",0,1797.24,4,74.9840277777778,449.31,1,2011-09-25 13:13:00
12349,"2",0,1757.55,1,18.1243055555556,1757.55,1,2011-11-21 09:51:00
12350,"3",1,334.4,1,309.867361111111,334.4,1,2011-02-02 16:01:00
12352,"1",0,2506.04,8,35.9256944444444,313.255,2,2011-11-03 14:37:00
12353,"3",1,89,1,203.79375,89,1,2011-05-19 17:47:00
12354,"2",1,1079.4,1,231.985416666667,1079.4,1,2011-04-21 13:11:00
12355,"2",1,459.4,1,213.959027777778,459.4,1,2011-05-09 13:49:00
12356,"1",0,2811.43,3,22.1736111111111,937.143333333333,1,2011-11-17 08:40:00
12357,"1",0,6207.67,1,32.8631944444444,6207.67,1,2011-11-06 16:07:00
12358,"2",0,1168.06,2,1.1,584.03,1,2011-12-08 10:26:00
12359,"1",0,6372.58,4,57.0020833333333,1593.145,1,2011-10-13 12:47:00
12360,"1",0,2662.06,3,51.8944444444444,887.353333333333,1,2011-10-18 15:22:00
12361,"3",1,189.9,1,286.957638888889,189.9,1,2011-02-25 13:51:00
12362,"1",0,5226.23,10,2.88194444444444,522.623,1.25,2011-12-06 15:40:00
12363,"2",1,552,2,109.105555555556,276,1,2011-08-22 10:18:00
12364,"1",0,1313.1,4,7.10277777777778,328.275,1,2011-12-02 10:22:00
12365,"2",1,641.38,2,290.948611111111,320.69,2,2011-02-21 14:04:00
12367,"3",0,168.9,1,3.83472222222222,168.9,1,2011-12-05 16:48:00
12370,"1",0,3545.69,4,50.9159722222222,886.4225,1.33333333333333,2011-10-19 14:51:00
12371,"2",0,1887.96,2,44.1069444444444,943.98,2,2011-10-26 10:16:00
12372,"2",0,1298.04,3,71.0263888888889,432.68,1,2011-09-29 12:12:00
12373,"3",1,364.6,1,310.986111111111,364.6,1,2011-02-01 13:10:00
12374,"2",0,742.93,1,24.8840277777778,742.93,1,2011-11-14 15:37:00
12375,"2",0,457.5,2,10.0930555555556,228.75,1,2011-11-29 10:36:00
12377,"2",1,1628.12,2,314.878472222222,814.06,1,2011-01-28 15:45:00
12378,"1",1,4008.62,1,129.094444444444,4008.62,1,2011-08-02 10:34:00
12379,"2",0,852.24,2,81.1118055555555,426.12,1,2011-09-19 10:09:00
12380,"1",0,2724.81,4,21.0576388888889,681.2025,1,2011-11-18 11:27:00
12381,"1",0,1845.31,5,4.00416666666667,369.062,1.25,2011-12-05 12:44:00
12383,"1",1,1850.56,5,184.2,370.112,1,2011-06-08 08:02:00
12384,"2",0,585.27,2,28.1743055555556,292.635,1,2011-11-11 08:39:00
12386,"3",1,401.9,2,337.009027777778,200.95,1,2011-01-06 12:37:00
12388,"1",0,2780.66,6,15.0138888888889,463.443333333333,1,2011-11-24 12:30:00
12390,"2",0,549.84,1,79.1368055555556,549.84,1,2011-09-21 09:33:00
12391,"2",0,460.89,1,21.0298611111111,460.89,1,2011-11-18 12:07:00
